"datetime","demand_fcast","demand","tempsim"
"171",2020-01-08 02:30:00,4.40494560114963,4.621,17.3080670388095
"172",2020-01-08 03:30:00,4.29886665383566,4.585,18.3204110725911
"173",2020-01-08 04:30:00,4.32314177492793,4.61,18.7984241876935
"174",2020-01-08 05:30:00,4.48765439111798,4.79,17.8955837345032
"175",2020-01-08 06:30:00,4.80754744730543,5.328,19.2077398087364
"176",2020-01-08 07:30:00,5.23817249450917,5.93,17.5200409827614
"177",2020-01-08 08:30:00,5.68999442903366,6.344,16.6632557633863
"178",2020-01-08 09:30:00,5.97329356815033,6.415,18.9583383063784
"179",2020-01-08 10:30:00,6.14837947737448,6.24,18.8949069372783
"180",2020-01-08 11:30:00,6.10397302249618,6.05,19.2533413856881
"181",2020-01-08 12:30:00,5.94517130956942,5.844,20.5121728155764
"182",2020-01-08 13:30:00,5.81185530777016,5.745,20.4059416270732
"183",2020-01-08 14:30:00,5.71282126367937,5.669,19.7604772565984
"184",2020-01-08 15:30:00,5.75038942869092,5.682,22.8285799345487
"185",2020-01-08 16:30:00,5.95394542404207,5.815,20.4080045750702
"186",2020-01-08 17:30:00,6.42216420655497,6.217,22.8326910862717
"187",2020-01-08 18:30:00,6.61554029821691,6.56,21.9085513185553
"188",2020-01-08 19:30:00,6.19690281802025,6.547,21.7653325894415
"189",2020-01-08 20:30:00,6.0449675328154,6.311,18.8888473820012
"190",2020-01-08 21:30:00,5.7157195966169,6.066,19.1620577660907
"191",2020-01-08 22:30:00,5.41107212790357,5.812,18.2359664213175
"192",2020-01-08 23:30:00,5.12646447230046,5.375,16.7206958464547
"193",2020-01-09 00:30:00,4.8310266226364,4.941,19.5429987286116
"194",2020-01-09 01:30:00,4.5102064660204,4.677,15.1684058848154
"195",2020-01-09 02:30:00,4.3611290160684,4.568,18.5314149742988
"196",2020-01-09 03:30:00,4.24528013587422,4.531,25.7624773223346
"197",2020-01-09 04:30:00,4.30730240057173,4.588,14.9046376592502
"198",2020-01-09 05:30:00,4.43494062029879,4.749,17.6645256273601
"199",2020-01-09 06:30:00,4.7580516925398,5.335,15.0899058532725
"200",2020-01-09 07:30:00,5.18407841623806,5.938,17.3536640309084
"201",2020-01-09 08:30:00,5.62663395410055,6.348,20.585545306979
"202",2020-01-09 09:30:00,5.94989125618292,6.459,24.0420879037447
"203",2020-01-09 10:30:00,6.05554924983487,6.25,18.5618845875035
"204",2020-01-09 11:30:00,5.99156801246782,6.028,17.0482458356883
"205",2020-01-09 12:30:00,5.79898942368447,5.805,22.1331175721071
"206",2020-01-09 13:30:00,5.69594416022113,5.696,21.828841931096
"207",2020-01-09 14:30:00,5.57830715821561,5.616,20.2913320301277
"208",2020-01-09 15:30:00,5.6025699120073,5.611,20.4326038783526
"209",2020-01-09 16:30:00,5.79623401490611,5.765,19.8167707662685
"210",2020-01-09 17:30:00,6.27038833613467,6.122,20.9160132883539
"211",2020-01-09 18:30:00,6.48552762266873,6.44,19.9339353345277
"212",2020-01-09 19:30:00,6.09447109354753,6.393,25.2477367417426
"213",2020-01-09 20:30:00,5.95338993490685,6.156,25.0140811539199
"214",2020-01-09 21:30:00,5.6421955420455,5.926,21.5664919939883
"215",2020-01-09 22:30:00,5.38422124427376,5.691,20.0377875016798
